Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp
619,Airport,1,Trip Completed,11/7/2016 11:51,11/7/2016 13:00
867,Airport,1,Trip Completed,11/7/2016 17:57,11/7/2016 18:47
1807,City,1,Trip Completed,12/7/2016 9:17,12/7/2016 9:58
2532,Airport,1,Trip Completed,12/7/2016 21:08,12/7/2016 22:03
3112,City,1,Trip Completed,13-07-2016 08:33:16,13-07-2016 09:25:47
3879,Airport,1,Trip Completed,13-07-2016 21:57:28,13-07-2016 22:28:59
4270,Airport,1,Trip Completed,14-07-2016 06:15:32,14-07-2016 07:13:15
5510,Airport,1,Trip Completed,15-07-2016 05:11:52,15-07-2016 06:07:52
6248,City,1,Trip Completed,15-07-2016 17:57:27,15-07-2016 18:50:51
267,City,2,Trip Completed,11/7/2016 6:46,11/7/2016 7:25
1467,Airport,2,Trip Completed,12/7/2016 5:08,12/7/2016 6:02
1983,City,2,Trip Completed,12/7/2016 12:30,12/7/2016 12:57
2784,Airport,2,Trip Completed,13-07-2016 04:49:20,13-07-2016 05:23:03
3075,City,2,Trip Completed,13-07-2016 08:02:53,13-07-2016 09:16:19
3379,City,2,Trip Completed,13-07-2016 14:23:02,13-07-2016 15:35:18
3482,Airport,2,Trip Completed,13-07-2016 17:23:18,13-07-2016 18:20:51
4652,City,2,Trip Completed,14-07-2016 12:01:02,14-07-2016 12:36:46
5335,Airport,2,Trip Completed,14-07-2016 22:24:13,14-07-2016 23:18:52
535,Airport,3,Trip Completed,11/7/2016 10:00,11/7/2016 10:31
960,Airport,3,Trip Completed,11/7/2016 18:45,11/7/2016 19:23
1934,Airport,3,Trip Completed,12/7/2016 11:17,12/7/2016 12:23
2083,Airport,3,Trip Completed,12/7/2016 15:46,12/7/2016 16:40
2211,Airport,3,Trip Completed,12/7/2016 18:00,12/7/2016 18:28
3096,Airport,3,Trip Completed,13-07-2016 08:17:29,13-07-2016 09:22:37
3881,Airport,3,Trip Completed,13-07-2016 21:54:18,13-07-2016 22:51:23
5254,City,3,Trip Completed,14-07-2016 21:23:03,14-07-2016 22:25:19
5434,City,3,Trip Completed,15-07-2016 02:41:38,15-07-2016 03:24:43
5916,City,3,Trip Completed,15-07-2016 10:00:43,15-07-2016 10:53:06
669,City,4,Trip Completed,11/7/2016 13:08,11/7/2016 13:49
1567,Airport,4,Trip Completed,12/7/2016 6:21,12/7/2016 7:10
1826,City,4,Trip Completed,12/7/2016 9:27,12/7/2016 10:27
2102,City,4,Trip Completed,12/7/2016 16:09,12/7/2016 17:01
2847,Airport,4,Trip Completed,13-07-2016 05:34:20,13-07-2016 06:09:59
3722,Airport,4,Trip Completed,13-07-2016 19:57:59,13-07-2016 20:32:04
4075,City,4,Trip Completed,14-07-2016 02:17:35,14-07-2016 03:21:38
4686,City,4,Trip Completed,14-07-2016 13:01:10,14-07-2016 13:45:28
